State,price_per_g
Alaska,567.9439788422434
Arizona,167.6482665258617
Arkansas,504.8276775003806
California,330.32586774718186
Colorado,220.49248870172812
Florida,6780.0
Hawaii,216.66666666666666
Illinois,381.4058243972841
Maine,552.8693575119518
Maryland,1793.8715701061642
Massachusetts,1851.5040893226235
Michigan,127.31701556785835
Mississippi,559.9587359108538
Missouri,285.28693108110195
Montana,2184.4556211335703
Nevada,348.9161964371114
New Hampshire,300.0
New Jersey,1038.4579661016949
New Mexico,244.77269701743396
New York,2812.452788577713
Ohio,236.54497328498633
Oklahoma,112.04105096977653
Oregon,130.12901739857227
Rhode Island,1152.4
South Dakota,2061.436879120879
Utah,551.3795643227263
Vermont,4062.686567164179
Virginia,111.66666666666667
Washington,243.52650170552099
